geometry,Class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,image_date,site_name
POINT (-145.4522225241247 63.282713800754074),1,1.4372325000000001,1.4702325,1.4253250000000002,1.3955700000000002,1.1668525,0.27717250000000004,0.27288250000000003,0.9790000000000001,0.6743930607827617,20210610,Gulkana
POINT (-145.4514290421458 63.27916112603051),1,1.3575100000000002,1.3930125000000002,1.35949,1.3258025000000002,1.0983225,0.20941250000000003,0.21769000000000002,0.9833725000000001,0.7330458712380151,20210610,Gulkana
POINT (-145.44687731721982 63.2768965339327),1,1.3543475,1.37742,1.3471425000000001,1.3126025000000001,1.0823725000000002,0.21392250000000002,0.22184250000000003,0.9839500000000001,0.7259274918084769,20210610,Gulkana
POINT (-145.4449763839475 63.27565752285087),1,1.34519,1.3689500000000001,1.34024,1.3074050000000002,1.0848475000000002,0.21342750000000002,0.22099000000000002,0.98494,0.7252597483052197,20210610,Gulkana
POINT (-145.44967631179128 63.27515499879225),1,1.3421375000000002,1.3670250000000002,1.3372425000000001,1.3020975000000001,1.068375,0.21208000000000002,0.22000000000000003,0.9856550000000001,0.7262287225545359,20210610,Gulkana
POINT (-145.45623593655407 63.27666601771477),1,1.3604525,1.3845425000000002,1.3513225000000002,1.3113100000000002,1.0737100000000002,0.21320750000000002,0.22159500000000001,0.9829875000000001,0.7274484989102159,20210610,Gulkana
POINT (-145.45806650284894 63.279233129426274),1,1.37236,1.39359,1.3615525000000002,1.3191475000000001,1.0849300000000002,0.22440000000000002,0.230835,0.9795500000000001,0.7170154843855665,20210610,Gulkana
POINT (-145.45842817437853 63.2816735747378),1,1.4461425,1.4752925000000001,1.44947,1.4124825,1.1743325,0.23892000000000002,0.24362250000000002,0.969485,0.7169848198579711,20210610,Gulkana
POINT (-145.4612604471303 63.283919221493875),1,1.4164425,1.4430625000000001,1.4164700000000001,1.37742,1.1540100000000002,0.30013500000000004,0.3001075,0.9728950000000001,0.6503155938611387,20210610,Gulkana
POINT (-145.46189782205974 63.285808875196814),1,1.4256825000000002,1.4524675,1.4187800000000002,1.382425,1.1546975000000002,0.22935000000000003,0.2354825,0.975095,0.721684575852633,20210610,Gulkana
POINT (-145.4666872965799 63.2836454799311),1,1.4426775,1.471745,1.4493875,1.4158100000000002,1.1804375,0.23716,0.24059750000000002,0.97713,0.718762738671754,20210610,Gulkana
POINT (-145.4540620823419 63.28051874490657),1,1.42307,1.4495525,1.4196325,1.3830025000000001,1.143175,0.2148025,0.2236025,0.9784225000000001,0.7371538176801158,20210610,Gulkana
POINT (-145.474203837601 63.28106816015871),1,1.403985,1.4317050000000002,1.3995575000000002,1.3618000000000001,1.1311300000000002,0.2174975,0.22508750000000002,0.9770200000000001,0.7309955443692393,20210610,Gulkana
POINT (-145.47973492832398 63.27880152957902),1,1.4095675,1.4351425000000002,1.405305,1.3676025,1.1304975000000002,0.21650750000000002,0.22299750000000002,0.9767725,0.733005510809665,20210610,Gulkana
POINT (-145.4160205631142 63.29239435920064),1,1.39711,1.4276350000000002,1.4020325000000002,1.3725800000000001,1.1455950000000001,0.21901,0.22429000000000002,0.9758100000000001,0.7297911683376593,20210610,Gulkana
POINT (-145.4173505294339 63.29506719714897),1,1.3962850000000002,1.4208150000000002,1.39359,1.35938,1.1251625,0.21298750000000002,0.22173250000000003,0.9773775000000001,0.7348556169870423,20210610,Gulkana
POINT (-145.42312864709646 63.29291620632905),1,1.3205500000000001,1.3460425,1.293765,1.2572175,1.03235,0.20927500000000002,0.2176075,0.9745450000000001,0.7215310304449648,20210610,Gulkana
POINT (-145.42292904742467 63.29656882343199),1,1.3993925,1.4251875,1.3946900000000002,1.358335,1.1221375,0.21243750000000003,0.22104500000000002,0.9719050000000001,0.7356308071388238,20210610,Gulkana
